LOGISTA France n°01,"Camel Pipe Tobacco Coupe Large (boîte carrée), en 67 g",21.00,21.00
LOGISTA France n°01,"Winston Pipe Tobacco Coupe Large (boîte carrée), en 35,5 g",10.50,10.50
LOGISTA France n°01,"Big Ben ice coupe large (pot), en 50 g",13,13
LOGISTA France n°01,"Big Ben coupe large (blague), en 20 g",4.80,4.80
LOGISTA France n°01,"Big Ben coupe large (blague), en 25 g",6.00,6.00
LOGISTA France n°01,"Big Ben coupe large (pot), en 50 g",12,12
LOGISTA France n°01,"Big Ben coupe large (pot), en 70 g",16.80,16.80
LOGISTA France n°01,"Big Ben ice coupe large (blague), en 30 g",8.00,8.00
LOGISTA France n°01,"Big Ben ice coupe large (pot), en 70 g",18.20,18.20
LOGISTA France n°01,"Big Ben ice coupe large, en 30 g",7.80,7.80
LOGISTA France n°01,"Bistro, en 30 g",8.50,8.50
LOGISTA France n°01,"Bistro Noir, en 30 g",8.50,8.50
LOGISTA France n°01,"Brookfield n°1, en 50 g",14.20,14.20
LOGISTA France n°01,"Chevalier, en 30 g",8.30,8.30
LOGISTA France n°01,"Golden blend's n°1, en 50 g",15.00,15.00
LOGISTA France n°01,"Golden blend's n°2, en 50 g",15.00,15.00
LOGISTA France n°01,"Golden blend's n°3, en 50 g",15.00,15.00
LOGISTA France n°01,"J B R Adventure, en 50 g",14.20,14.20
LOGISTA France n°01,"Radford's Caribbean blend, en 50 g",14.20,14.20
LOGISTA France n°01,"Radford's Scottish blend, en 50 g",14.20,14.20
LOGISTA France n°01,"Thomas Radford Sunday's Fantasy, en 50 g",17.30,17.30
LOGISTA France n°01,"News Large Cut Pipe Tobacco XL (pochette), en 75 g",21.50,21.50
LOGISTA France n°01,"News Large Cut Pipe Tobacco XXL (pochette), en 140 g",39.50,39.50
LOGISTA France n°01,"Amphora full, en 50 g",17.00,17.00
LOGISTA France n°01,"Amsterdamer, en 40 g",13.40,13.40
LOGISTA France n°01,"Backwoods Red, en 150 g",36.50,36.50
LOGISTA France n°01,"Backwoods Red, en 30 g",7.30,7.30
