LOGISTA France n°01,"Camel Pipe Tobacco Coupe Large (boîte carrée), en 67 g",20,21
LOGISTA France n°01,"Winston Pipe Tobacco Coupe Large (boîte carrée), en 35,5 g",10,"10,5"
LOGISTA France n°01,"Big Ben ice coupe large (pot), en 50 g","12,5","13,3"
LOGISTA France n°01,"Big Ben coupe large (blague), en 20 g","4,4","4,8"
LOGISTA France n°01,"Big Ben coupe large (blague), en 25 g","5,5",6
LOGISTA France n°01,"Big Ben coupe large (blague), en 30 g","6,6","7,2"
LOGISTA France n°01,"Big Ben coupe large (pot), en 50 g",11,12
LOGISTA France n°01,"Big Ben coupe large (pot), en 70 g","15,4","16,8"
LOGISTA France n°01,"Big Ben ice coupe large (blague), en 30 g","7,5",8
LOGISTA France n°01,"Big Ben ice coupe large (pot), en 70 g","17,5","18,6"
LOGISTA France n°01,"Big Ben ice coupe large, en 30 g","7,5",8
LOGISTA France n°01,"Bistro, en 30 g",8,"8,5"
LOGISTA France n°01,"Bistro, en 40 g","10,65","11,35"
LOGISTA France n°01,"Bistro Noir, en 40 g","10,65","11,35"
LOGISTA France n°01,"Bistro Noir, en 30 g",8,"8,5"
LOGISTA France n°01,"Brookfield n°1, en 50 g","13,2","14,2"
LOGISTA France n°01,"Chevalier, en 30 g","7,8","8,3"
LOGISTA France n°01,"Golden blend's n°1, en 50 g",14,15
LOGISTA France n°01,"Golden blend's n°2, en 50 g",14,15
LOGISTA France n°01,"Golden blend's n°3, en 50 g",14,15
LOGISTA France n°01,"J B R Adventure, en 50 g","13,2","14,2"
LOGISTA France n°01,"Radford's Caribbean blend, en 50 g","13,3","14,2"
LOGISTA France n°01,"Radford's Scottish blend, en 50 g","13,3","14,2"
LOGISTA France n°01,"Thomas Radford Sunday's Fantasy, en 50 g","16,3","17,3"
LOGISTA France n°01,"7 Seas original blend, en 40 g","12,5","13,5"
LOGISTA France n°01,"7 Seas regular blend, en 40 g","12,5","13,5"
LOGISTA France n°01,"7 Seas Royal blend, en 40 g","12,5","13,5"
LOGISTA France n°01,"Chevalier Rouge, en 20g","4,8","5,2"
LOGISTA France n°01,"Classic Loose Cut, en 50 g","15,9",17
LOGISTA France n°01,"Mixture, en 50 g","15,9",17
LOGISTA France n°01,"Original Choice tabac à pipe, en 40 g","15,8","16,9"
LOGISTA France n°01,"News Large Cut Pipe Tobacco XL (pochette), en 75 g","18,9","21,5"
LOGISTA France n°01,"News Large Cut Pipe Tobacco XXL (pochette), en 140 g","38,9","39,5"
LOGISTA France n°01,"Horizon Five continent selection coupe large XXL (pochette), en 140 g","34,9","37,5"
LOGISTA France n°01,"Amphora full, en 50 g","15,8","16,8"
LOGISTA France n°01,"Amsterdamer, en 40 g","12,2",13
LOGISTA France n°01,"Backwoods Blue, en 30 g","6,4","6,9"
LOGISTA France n°01,"Backwoods Red, en 150 g",32,"34,5"
LOGISTA France n°01,"Backwoods Red, en 30 g","6,4","6,9"
LOGISTA France n°01,"Backwoods Red, en 75 g",16,"17,25"
